City_ID,Year,IRR,Irrigated area: Total,Irrigated area: Rice,Irrigated area: Wheat,Irrigated area: Maize,Irrigated area: Vegetables and fruits,Irrigated area: Others,Irrigation water-use intensity (WUI): Total,Irrigation water-use intensity (WUI): Rice,Irrigation water-use intensity (WUI): Wheat,Irrigation water-use intensity (WUI): Maize,Irrigation water-use intensity (WUI): Vegetables and fruits,Irrigation water-use intensity (WUI): Others,IND,Industrial gross value added (GVA): Total,Industrial gross value added (GVA): Textile,Industrial gross value added (GVA): Papermaking,Industrial gross value added (GVA): Petrochemicals,Industrial gross value added (GVA): Metallurgy,Industrial gross value added (GVA): Mining,Industrial gross value added (GVA): Food,Industrial gross value added (GVA): Cements,Industrial gross value added (GVA): Machinery,Industrial gross value added (GVA): Electronics,Industrial gross value added (GVA): Thermal electrivity,Industrial gross value added (GVA): Others,Industrial WUI: Total,Industrial WUI: Textile,Industrial WUI: Papermaking,Industrial WUI: Petrochemicals,Industrial WUI: Metallurgy,Industrial WUI: Mining,Industrial WUI: Food,Industrial WUI: Cements,Industrial WUI: Machinery,Industrial WUI: Electronics,Industrial WUI: Thermal electrivity,Industrial WUI: Others,URB,Urban domestic WU,Urban population,Urban domestic WUI,Urban service WU,Service GVA,Service WUI,RUR,Rural domestic WU,Rural population,Rural domestic WUI,Rural livestock WU,Livestock population,Livestock WUI,Total water use,Province_n,Area_calcu,Region,Intersect_area,Ratio
C107,1985,0.1525194779197659,65.4742679022616,0.012495620821369732,30.780739989759677,14.624821595842386,1.6915426236849058,18.36466807215326,232.94567897642364,996.4612460010815,304.4668508285266,165.05308229125387,314.0815934862695,159.14402169951603,0.060034717892865797,0.8212159628943141,0.08870164169139004,0.012331381811343179,0.05883298657310012,0.04210444092054425,0.05522179842600235,0.09378747564101553,0.037777954494974605,0.03663220883006213,0.006355527399743831,0.032544497314128416,0.35692604979200976,0.07310466503997065,0.026816137345121036,0.2822932449271297,0.10080297327714594,0.06532064531064294,0.11688235504487478,0.037278906211565745,0.025055660254923194,0.01506631683952921,0.0222460293214949,0.2897193805938447,0.06857111780392372,0.017978808589612198,0.013289384055389111,0.34652700000000003,105.06907509264127,0.004689424534223089,0.6872789560065707,0.0068231749178979005,0.017029771956687517,0.014072050520167223,1.2644584784064208,30.490177200235,0.0029577214365202934,173.48481660547284,0.017048877788806954,0.2475627763589314,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1986,0.15287259444243984,66.36702745697143,0.007231045496662282,30.936629818918114,14.623352924431288,2.1032029451800005,18.696610722945366,230.34419394714286,984.3058896469778,300.75280466297363,163.0396783172962,310.25026165233066,157.2026995425872,0.0657929301833157,1.0967983123039315,0.11376123491380756,0.01676645999429052,0.07845273508019857,0.0581054082818729,0.07510426135388273,0.12595759018867198,0.0518979678098492,0.05137516640983116,0.008693117915068868,0.04468966859380102,0.47199470176265707,0.05998635250004282,0.02190554829290625,0.23059951662417696,0.08234386521714362,0.05335908494056194,0.09547877981352731,0.030452367908711964,0.02046745094795435,0.01230736279714725,0.01817232151505508,0.23666577334800362,0.05601432873126697,0.0203772728469702,0.014717393002086946,0.353478,114.07110106782292,0.005659879844883256,0.9069139520528937,0.006240812407915361,0.023028066323017585,0.019933032962203508,1.2799428597557392,42.6667868766722,0.0030950333608140775,184.61833235304834,0.01676449636049902,0.2620708637957433,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1987,0.15322571096511375,66.52845046117054,0.00717791545761915,30.762872155442583,14.828917612108011,2.302659844178557,18.62682293398377,230.316067641684,984.5112482802439,300.81555160532787,163.07369376499352,310.3149900770751,157.23549720423222,0.0600653397425045,1.5240369051822777,0.12361142865757643,0.023527947648280152,0.0972129688779157,0.0837074762847135,0.1050556180940091,0.17635708907169467,0.0690204390161421,0.05792283407964395,0.0013839969204870678,0.052643142123711795,0.7335939644081029,0.03941199818604168,0.014347457697401037,0.1510355625692289,0.0539326889720467,0.03494855292915257,0.06253565243183909,0.01994536062342822,0.013405548344320667,0.008060942585756679,0.011902309438438277,0.15500877339978647,0.03668765561921231,0.0202438351697445,0.014860564952294934,0.36302300000000004,112.15233354809462,0.005383270217449568,1.5518657096756039,0.003468902098864512,0.02178101319382921,0.018392882847266173,1.3006214624856927,38.7441398661973,0.003388130346563041,196.707161280044,0.017224234870328377,0.25531589907119195,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1988,0.15357882748778773,69.6777942689026,0.007349150232647305,32.310842756354276,14.75441557937552,2.709833045589981,19.895353737350174,220.41287199059687,939.0111540583422,286.9130837916136,155.53709279229574,295.9734969639802,149.96871386344534,0.0662119887676079,2.01847281102624,0.1798741638239822,0.03253263653622239,0.13478915758205742,0.10677509611751727,0.12751654750514535,0.22123228091617259,0.09032529953175508,0.07761764277814712,0.02091198911795361,0.06206305681293658,0.9648349403043506,0.03280301245868361,0.012181388076384476,0.128233366481652,0.04579034336448676,0.029672287238399587,0.053094497084324496,0.016934162358354838,0.011381681006000385,0.006843963019061102,0.010105389632972672,0.13160673227628214,0.031148833482278003,0.0205314942212624,0.015259549053111054,0.373679,111.87940373195597,0.005271945168151345,1.9756557378820598,0.002668453347951688,0.021633058614585293,0.017913029357667445,1.3243848376933192,37.0562931286723,0.0037200292569178465,210.83470423394593,0.017644292814289416,0.26195536909124334,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1989,0.17211427225940384,70.98384488800436,0.007866296058372869,32.60583924253347,15.58614480145224,2.777987181859321,20.006007366100942,242.4696387339391,1035.4013332455427,316.36492090590156,171.5030887016203,326.3553920924037,165.36311161824912,0.0717623539528262,2.391443149771251,0.2100876637614179,0.0380450024980388,0.1635157655156315,0.1315146955250214,0.1477911665925792,0.23938005856544517,0.1103982208281917,0.09931325635611975,0.024577523037625594,0.08694925752188565,1.139870539569294,0.030007969856900206,0.010946013034425998,0.11522858414450088,0.04114651730784363,0.02666307327507415,0.04770992053590376,0.015216784880287201,0.010227408228368049,0.006149882750965386,0.009080551899903278,0.11825984016609445,0.027989875633728106,0.0194893842578137,0.014882749346723779,0.38474200000000003,105.97921657746932,0.0046066349110899215,2.342984595739524,0.0019661396491750787,0.018528423443723397,0.01451449012779201,1.348174599167921,29.4959765612372,0.004013933315931386,227.44085983891742,0.017648250709103946,0.2818944339137672,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1990,0.17693240886827477,72.34739379409234,0.008414927053796867,33.80813520883414,17.677121732670514,2.5748702088168947,18.278851716716993,244.5594783577712,1040.9415217792323,318.0577150437751,172.42076131320437,328.1016428872627,166.24793065939426,0.0678644578863957,2.3445652198663574,0.19826573247198745,0.03496279484449556,0.15742303681276432,0.1328674612517316,0.15161098100743742,0.2333189873290173,0.10409685942381182,0.09425933306070991,0.020082122782608063,0.08514548679788214,1.1325324240839116,0.02894543402391,0.01052216671791346,0.1107667576517863,0.039553261412441414,0.02563063841874781,0.04586251965883099,0.014627567765307622,0.00983138738576258,0.005911749912754551,0.00872893908320278,0.11368063881779376,0.026906064966804137,0.0231803621645092,0.017333641228607796,0.408586,116.22872057188206,0.005846720935901403,2.5822409300736924,0.0022642042683966553,0.025780410707208618,0.021597126222964495,1.4153990609940086,41.8046121837085,0.004183284484244124,235.90136904029683,0.01773319290711506,0.2937576396263883,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1991,0.19068225296066327,76.25791568187364,0.009504103732510823,34.867254712928116,17.539254773689102,2.7560622490821705,21.085839842441743,250.04912769467163,1070.9705373627394,327.2330240132734,177.39474459666926,337.56669845579773,171.04384051220111,0.0729473776398705,2.726331080703615,0.2119424291072714,0.03810727105148099,0.18074753606980978,0.15310459830710194,0.1685059375869174,0.2718348398997102,0.11842464397566736,0.10979532045493998,0.026021758523743894,0.09811117181188786,1.349735573915084,0.02675661006697842,0.009748243987532207,0.10261967979077817,0.03664405374747577,0.023745462656166325,0.042489255635547694,0.013551686011363265,0.009108272615487016,0.005476930948517742,0.008086911205322553,0.10531924018726548,0.024927079476346748,0.025838650495589997,0.019382242409275503,0.45708799999999994,116.17464032749727,0.006456408086314497,2.7771474225162534,0.0023248344808662067,0.026766908327653917,0.022072411532080265,1.4500207481757412,41.7044793586185,0.004694496795573649,250.46085710731037,0.018743435001351463,0.3162351894237777,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1992,0.19372935925339912,75.75488634329001,0.010384474172148677,35.43996430184583,16.279153563081287,2.612845771007419,21.412538233183323,255.73183276323235,1089.6646495981383,332.9449746828941,180.49122311756886,343.45902651498545,174.0294620957627,0.0796299348531445,3.6283160103705656,0.25020794847492567,0.049168279074362116,0.21752563519803886,0.19210875346820533,0.2224045899408052,0.3123199385335217,0.16305511306989412,0.14966583544248516,0.03827417464873317,0.11615922387572455,1.9174265186438695,0.021946802490616514,0.008057108792554708,0.08481711428118846,0.03028700635942705,0.01962607585478688,0.035118176730919146,0.01120072585952341,0.007528160299340604,0.004526787445816535,0.0066839856963313675,0.08704835221844044,0.020602704597715613,0.0272256570224629,0.020858713278919777,0.5086350000000001,112.35396633789134,0.0063669437435431245,3.457009746098658,0.0018417488555617803,0.023720164742681613,0.018959067157640588,1.4783825961123858,35.1347816752923,0.004761097585041024,248.3562028593625,0.01917043959533037,0.32430511587168814,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1993,0.1440389129175973,76.77470594411305,0.00928843689155418,35.785245635536555,17.067765723163355,3.438854262440516,20.473551886081065,187.61245796558072,794.7314173065456,242.82868285431834,131.63870702102523,250.4969570497179,126.9259135051026,0.0823503053491204,5.300737816206075,0.34499640547644383,0.0617309271349229,0.27812667805797886,0.39433759802943685,0.33384782181045425,0.4386706377637236,0.26345061284142224,0.4387359614961416,0.0562872827667639,0.17077801111788368,2.5197758797109033,0.015535630737545401,0.005927239260547385,0.062395996216204876,0.02228073838892816,0.014437988902975828,0.025834805168659658,0.00823985175954725,0.005538116517326747,0.0033301464537491042,0.00491709662315118,0.06403741393089721,0.015156449131962112,0.0305669251729411,0.023822498096128197,0.563199,115.88642393112224,0.006744427076812903,5.0839289082496695,0.0013266171102174049,0.025393981791402474,0.02053277057595146,1.50028997582552,37.4955287764004,0.00486121121545102,247.56881687370762,0.019635797742374284,0.28235012523106123,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
C107,1994,0.17709491970727637,79.5421147852414,0.009163131199076868,34.81991924811461,15.717272266263556,4.614293318666161,24.381466820997993,222.64296113501797,952.1193095049756,290.9182559195047,157.70831768267885,300.10514821169966,152.06220679476746,0.0920879100983786,7.101272882845611,0.46810794099414366,0.08060424091009288,0.3853961295706364,0.4058932859363919,0.4141376058859246,0.5836317325676708,0.3268593916833528,0.5380296921450676,0.06911591536638316,0.2054468001458738,3.6240501476400717,0.012967803324504448,0.004971775911420226,0.05233784183838496,0.018689112003300302,0.012110603652355112,0.021670267787016053,0.0069115982485254465,0.004645379254175877,0.00279333112642432,0.004124466968598649,0.053714665127568686,0.012713249016034517,0.0368092985177739,0.028910253795968795,0.622642,127.20981685057568,0.007899044721805104,5.9513888128041526,0.0013272607403520091,0.03151054184008782,0.026314481289768394,1.5187264720901035,47.470344800021,0.005196060550319433,252.34649481387393,0.020590975730223435,0.33750267016351676,Henan,9951.74626797,MR,8823.48637173,0.8866269430651242
