,S,P,A,IWGI,stage
1965,0.8044139054977998,0.894241183641897,0.05192633765344899,0.5835271422643818,P1
1966,0.7794876178045763,0.9386727563741911,0.7380319659353544,0.8187307800380407,P1
1967,0.6627082814504462,0.9722010288122692,0.7684736198350225,0.8011276433659127,P1
1968,0.2566207644927437,0.9938573985649561,0.7841009483532578,0.6781930371369859,P1
1969,0.32783447038468805,0.9750857340731227,0.8694038714534739,0.7241080253037615,P1
1970,0.20810976492131242,0.8346662827993107,1.0,0.6809253492402076,P1
1971,0.22908225646935226,0.9600357994968675,0.7636647330851127,0.6509275963504442,P1
1972,0.22747531147763428,0.9566814846670778,0.7393091829723445,0.6411553263723522,P1
1973,0.15871152745681677,0.9774504310546879,0.6823519012514934,0.606171286587666,P1
1974,0.18865233010619742,1.0,0.6540791026568263,0.6142438109210079,P1
1975,0.08433619693008539,0.8709687825774362,0.6718098962441207,0.5423716252505474,P1
1976,0.05254956928167802,0.9740616119407918,0.5619509964043611,0.5295207258756104,P1
1977,0.06906837015246058,0.9403283918169308,0.49938311677733077,0.5029266262489074,P1
1978,0.0736668964066386,0.7695296568848659,0.4459698040032405,0.4297221190982483,P2
1979,0.020155293653037993,0.7413571917739687,0.4141596930004179,0.3918907261424749,P2
1980,0.04998767936364118,0.7168988088962555,0.44062586531261155,0.4025041178575028,P2
1981,0.025013408694206127,0.6942703618904112,0.3962479734085151,0.3718439146643775,P2
1982,0.0,0.6957766962909112,0.3684162955409321,0.35473099727728113,P2
1983,0.010226239922804796,0.7246336103025874,0.3222822375839193,0.3523806959364372,P2
1984,0.0803037460850314,0.7441208858834807,0.35235618750912473,0.39226027315921225,P2
1985,0.10427605304763543,0.7009312702238292,0.2993025326859552,0.3681699519858066,P2
1986,0.45034614571726006,0.6764411690432071,0.26437824558080747,0.46372185344709155,P2
1987,0.4436091847046949,0.6795045629549012,0.21802718276637334,0.44704697680865646,P2
1988,0.42906546610030444,0.624499126560186,0.251496189931771,0.4350202608640871,P2
1989,0.4334210803976306,0.5770058402194433,0.2069999205556198,0.4058089470575646,P2
1990,0.49938857925951274,0.6060169060705461,0.11154657147185178,0.40565068560063694,P2
1991,0.5613812443250907,0.5697074524199165,0.19493549992058176,0.4420080655551963,P2
1992,0.5435270689675935,0.5585094906442359,0.09364505473325996,0.3985605381150297,P2
1993,0.7270557938556019,0.42088147959767863,0.09998903057534517,0.4159754346762086,P2
1994,0.6665997574560458,0.4985795882895441,0.23039918388168598,0.46519284320909193,P2
1995,0.6450956790440611,0.44599276564975154,0.26647229684527457,0.4525202471796957,P2
1996,0.641050741751361,0.329462549360438,0.20049884640877932,0.3903373791735261,P2
1997,0.7607731076662353,0.356946187429454,0.20012433101582275,0.43928120870383736,P2
1998,0.6546613174341002,0.37055079772304517,0.11663931547552991,0.3806171435442251,P2
1999,0.665945738342147,0.40792924342760606,0.0298848645415348,0.3679199487704293,P2
2000,0.9008845334334291,0.3743597557677562,0.0,0.4250814297337284,P2
2001,0.9275135878350413,0.39925626831300015,0.12618722285816558,0.4843190263354023,P3
2002,0.9606375719098824,0.4193384920465151,0.10294247608392174,0.4943061800134398,P3
2003,1.0,0.2426221539883383,0.3543496259465797,0.5323239266449727,P3
2004,0.943599143326755,0.3419481374794874,0.35711034714513457,0.5475525426504589,P3
2005,0.8666759844394456,0.30220034587760897,0.34484364401787154,0.5045733247783087,P3
2006,0.8432714651192403,0.3046921119471622,0.43170750495336585,0.5265570273399228,P3
2007,0.8142352473419349,0.2631055542511005,0.42768440321168727,0.5016750682682409,P3
2008,0.8367912825031344,0.24655864214200363,0.49409560210026593,0.5258151755818012,P3
2009,0.8341101815691779,0.3030689157395358,0.3928488452844876,0.5100093141977338,P3
2010,0.7995144783934502,0.19079618356650332,0.6916906729847677,0.5606671116482405,P3
2011,0.8241573075100875,0.04899442028308434,0.655088879635315,0.5094135358094957,P3
2012,0.9312240697561762,0.013188927064967835,0.5934893859653432,0.5126341275954958,P3
2013,0.983841419571917,0.0,0.6353575894770114,0.5397330030163094,P3
